W,W,W,W,W,W,W,W,W,W,W,W,W,W,
W,Pr,Ed0,X0,Pl,Pl,Ed1,X1,Pl,Pl,Ed2,X2,Pl,W,
W,Pr,Rd,Ru,Pl,Pr,Rd,Ru,Pl,Pr,Rd,Ru,Pl,W,
W,Pr,Rd,Ru,Pl,Pr,Rd,Ru,Pl,Pr,Rd,Ru,Pl,W,
W,Pr,Rd,Ru,Pl,Pr,Rd,Ru,Pl,Pr,Rd,Ru,Pl,W,
W,Pr,Rd,Ru,Pl,Pr,Rd,Ru,Pl,Pr,Rd,Ru,Pl,W,
W,Pr,Rd,Ru,Pl,Pr,Rd,Ru,Pl,Pr,Rd,Ru,Pl,W,
W,Pr,Rd,Ru,Pl,Pr,Rd,Ru,Pl,Pr,Rd,Ru,Pl,W,
W,Pr,Rd,Ru,Pl,Pr,Rd,Ru,Pl,Pr,Rd,Ru,Pl,W,
W,Pr,Rd,Ru,Pl,W,Rd,Ru,W,W,Rd,Ru,Pl,W,
W,Pr,Rd,Ru,Rl,Rl,Rld,Rlu,Rl,Rl,Rl,Ru,Pl,W,
W,Pr,Rr,Rr,Rr,Rr,Rr,Rr,Rr,Rr,Rr,Ru,Pl,W,
W,W,Pu,Pu,Pu,Pu,G0,Hu,Hu,Hu,Hu,Pu,Pu,W,
W,W,W,W,W,W,W,W,W,W,W,W,W,W,
