# CarNum, EntranceNum, goalNum,ExitNum, EnteringTime, StayingTime, Preference
0,0,1,0,2,13,0
1,0,2,0,4,32,0
2,1,3,0,6,25,0
3,0,4,1,8,51,0
4,1,5,1,10,43,0
5,0,6,0,12,10,0
6,0,0,0,14,23,0
7,1,7,1,16,37,0
8,1,8,0,18,21,0
9,0,1,0,20,40,0
10,0,2,0,22,32,1
11,1,3,0,24,25,1
12,0,4,1,26,51,1
13,0,5,0,28,43,1
14,1,6,0,30,10,1
15,0,0,0,32,23,1
16,1,7,1,34,37,1
17,0,8,1,36,21,1
18,0,1,0,38,40,1
19,1,2,0,40,32,1
20,1,3,1,42,25,1
21,0,4,0,44,51,1
22,0,5,1,46,43,1
23,1,6,0,48,10,1
24,0,0,0,50,23,2
25,0,7,0,52,37,2
26,1,8,0,54,21,2
27,0,1,1,56,40,2
28,1,2,1,58,32,2
29,0,3,0,60,25,2
30,0,4,0,62,51,2
31,1,5,0,64,43,2
32,1,6,0,66,10,2
33,0,0,0,68,23,2
34,0,7,1,70,37,2
35,1,8,0,72,21,2
36,0,1,0,74,40,2
37,0,2,0,76,32,2
38,1,3,1,78,25,2
39,0,4,1,80,51,2
40,1,5,0,82,43,2
41,0,6,0,84,10,2
42,0,0,0,86,23,3
43,1,7,0,88,37,3
44,1,8,1,90,21,3
45,0,1,0,92,40,3
46,0,2,0,94,32,3
47,1,3,0,96,25,3
48,0,4,1,98,51,3
49,0,5,1,100,43,3
50,1,6,0,102,10,3
51,0,0,0,104,40,0
52,1,7,0,106,32,0
53,0,8,0,108,25,0
54,0,1,1,110,51,0
55,1,2,1,112,43,0
56,1,3,0,114,10,0
57,0,4,0,116,23,0
58,0,5,1,118,37,0
59,1,6,0,120,21,0
60,0,0,0,122,40,0
61,0,7,0,124,32,1
62,1,8,0,126,25,1
63,0,1,1,128,51,1
64,1,2,0,130,43,1
65,0,3,0,132,10,1
66,0,4,0,134,23,1
67,1,5,1,136,37,1
68,1,6,1,138,21,1
69,0,0,0,140,40,1
70,0,7,0,142,32,1
71,1,8,1,144,25,1
72,0,1,0,146,51,1
73,0,2,1,148,43,1
74,1,3,0,150,10,1
75,0,4,0,152,23,2
76,1,5,0,154,37,2
77,0,6,0,156,21,2
78,0,0,1,158,40,2
79,1,7,1,160,32,2
80,1,8,0,162,25,2
81,0,1,0,164,51,2
82,0,2,0,166,43,2
83,1,3,0,168,10,2
84,0,4,0,170,23,2
85,0,5,1,172,37,2
86,1,6,0,174,21,2
87,0,0,0,176,40,2
88,1,7,0,178,32,2
89,0,8,1,180,25,2
90,0,1,1,182,51,2
91,1,2,0,184,43,2
92,1,3,0,186,10,2
93,0,4,0,188,23,3
94,0,5,0,190,37,3
95,1,6,1,192,21,3
96,0,0,0,194,40,3
97,0,7,0,196,32,3
98,1,8,0,198,25,3
99,0,1,1,200,51,3
100,1,2,1,202,43,3
